ID,Code,Type,Value,Min Order Amount,Max Discount,Usage Limit,Used Count,Valid From,Valid Until,Is Active,Description,Created By,Created At,Updated At,,Adipotide - 10 MG,AOD-9604 2mg,BPC 157 10mg,BPC 157 2mg,BPC 157 5mg,Cagrilintide 10mg,Cagrilintide 5mg,CJC-1295 WITH DAC 2mg,CJC-1295 with DAC 5mg,CJC-1295 without DAC 10mg,CJC-1295 without DAC 2mg,CJC-1295 without DAC 5mg,DSIP (Delta Sleep-Inducing Peptide) 5mg,Epithalon 10mg,GHK-Cu 100mg,GHK-Cu 50mg,GHRP-2 - 2mg,GHRP-2 5mg,HCG 5,Hexarelin 2mg,Hexarelin 5mg,HMG 75iu/vial,IGF-1 LR3 .1mg,IGF-1 LR3 1mg,Ipamorelin 10mg,Ipamorelin 2mg,Ipamorelin 5mg,Kisspeptin-10 5mg,Melanotan 2 10mg,MOTS-C 10mg,NAD+ 500mg,Oxytocin Acetate - 2mg,PEG-MGF,PT-141 10mg,PT-141 5mg,Retatrutide 10 MG,Selank 5mg,Semaglutide 10mg,Semaglutide 2mg,Semaglutide 5mg,Semax 10mg,Sermorelin 2mg,Sermorelin 5mg,Snap-8 10mg,SS-31 10mg,SS-31 50mg,TB-500 10mg,TB-500 2mg,TB-500 5mg,Tesamorelin 10 mg,Tesamorelin 2 mg,Tesamorelin 5 mg,Thymosin alpha 1 - 10 MG,Thymosin alpha 1 - 5 MG,Thymulin,Tirzepatide 10 mg,Tirzepatide 15 mg,Tirzepatide 30 mg,Tirzepatide 5mg,Tirzepatide 60 mg
disc_1703123456789_abc123def,WELCOME10,percentage,10,50,100,50,0,2024-01-01T00:00:00.000Z,2024-04-01T23:59:59.999Z,TRUE,Welcome discount - 10% off orders over $50,admin,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disc_1751580176504_tayunsvng,TWENTYOFF,fixed,20,,,1,0,2025-07-03T00:00:00.000Z,2025-08-02T00:00:00.000Z,TRUE,,admin,2025-07-03T22:02:56.504Z,2025-07-03T22:02:56.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
console_disc_1751587534310_r96qy8mb2,NB15,percentage,15,250,500,1,0,2025-07-04T00:00:00.000Z,2025-08-03T00:00:00.000Z,TRUE,Nathan special,console_admin,2025-07-04T00:05:34.310Z,2025-07-04T00:05:34.310Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
console_disc_1751633108020_ztwj5kjp7,TEST,percentage,100,,,100,0,2025-07-04T00:00:00.000Z,2025-08-03T00:00:00.000Z,TRUE,,console_admin,2025-07-04T12:45:08.021Z,2025-07-04T12:45:08.021Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
console_disc_1751933058041_k12mvt4oq,NBAPRIL,price_override,0,,,1000,0,2025-04-01T00:00:00.000Z,2026-04-30T00:00:00.000Z,TRUE,NBAPRIL Special Pricing - Catalog prices with quantity discounts (10+ units get kit pricing),console_admin,2025-07-08T00:04:18.041Z,2025-07-08T00:04:18.041Z,[],50,45,80,35,45,50,26,45,55,65,35,50,35,35,40,35,35,50,45,35,45,25,35,65,35,25,35,35,25,35,45,35,45,30,18,155,35,135,30,115,35,35,45,35,35,56,65,25,45,65,35,55,65,45,35,135,125,145,115,240
